parliamentarian_1,parliamentarian_2,proportion_agreement
"Barchiesi, Chiara","Cariola, Karol",0.930171277997365
"Delgado, Viviana","Kaiser, Johannes",0.9314888010540184
"Ojeda, Mauricio","Pizarro, Lorena",0.932806324110672
"Celis, Andrés","Serrano, Daniela",0.932806324110672
"Flores, Camila","Sagardia, Clara",0.932806324110672
"Bobadilla, Sergio","Ramírez, Matías",0.932806324110672
"Castillo, Nathalie","Ramírez, Guillermo",0.932806324110672
"Bugueño, Félix","Flores, Camila",0.9341238471673254
"Bugueño, Félix","Kaiser, Johannes",0.9341238471673254
"Castillo, Nathalie","Martínez, Cristóbal",0.9341238471673254
"Cariola, Karol","Romero, Agustín",0.9341238471673254
"Ojeda, Mauricio","Placencia, Alejandra",0.9341238471673254
"Lilayu, Daniel","Serrano, Daniela",0.9341238471673254
"Martínez, Cristóbal","Ramírez, Matías",0.9341238471673254
"Cuello, Luis Alberto","Schubert, Stephan",0.9341238471673254
"Barrera, Boris","Jürgensen, Harry",0.9341238471673254
"Donoso, Felipe","Ramírez, Matías",0.9341238471673254
"Meza, José Carlos","Pizarro, Lorena",0.9354413702239789
"Bobadilla, Sergio","Fries, Lorena",0.9354413702239789
"Castillo, Nathalie","Cornejo, Eduardo",0.9354413702239789
"Barrera, Boris","Naveillan, Gloria",0.9354413702239789
"Jürgensen, Harry","Ramírez, Matías",0.9367588932806324
"Kaiser, Johannes","Ñanco, Ericka",0.9367588932806324
"Moreno, Benjamín","Serrano, Daniela",0.9367588932806324
"Donoso, Felipe","Pizarro, Lorena",0.9367588932806324
"Acevedo, María Candelaria","Jürgensen, Harry",0.9367588932806324
"Ramírez, Matías","Teao, Hotuiti",0.9380764163372859
"Bobadilla, Sergio","Cuello, Luis Alberto",0.9380764163372859
"Romero, Leonidas","Videla, Sebastián",0.9380764163372859
"Bobadilla, Sergio","Ibáñez, Diego",0.9380764163372859
"Placencia, Alejandra","Sánchez, Luis",0.9393939393939394
"Castillo, Nathalie","Weisse, Flor",0.9393939393939394
"Placencia, Alejandra","Romero, Leonidas",0.9393939393939394
