level_0,index,parliamentarian_1,parliamentarian_2,proportion_agreement,region_1,region_2,partido_1,partido_2,Diputado_1,Diputado_2,sector_1,sector_2,person_1,person_2,label,sentiment,weight,node_vector_1,node_vector_2,same_party,same_sector,same_region,weight_edge,community_1,community_2,same_comunity,y_binaria,normalized_agreement
85,3470,"Leal, Henry","Mirosevic, Vlado",1.187088274044796,Región de la Araucanía (11),Región de Arica y Parinacota (3),UDI,PL,Henry Leal Bizama,Vlado Mirosevic Verdugo,centro_derecha,centro_izquierda,henry leal,vlado mirosevic,negative,,0.5,"(0.8001485466957092, -0.14087212085723877, -0.7681992650032043, 0.41008782386779785, -0.4278189539909363, 0.5968618988990784, -0.010016534477472305, 0.6925257444381714, 0.2491913139820099, 0.2283240705728531, 0.0631990060210228, 0.167531818151474)","(-0.25746551156044006, -0.4267946183681488, -0.03146525099873543, -0.09820473939180374, -0.22027204930782318, 0.09114105254411697, 0.07648873329162598, 0.4424510598182678, 0.11729744076728821, 0.11573886126279831, 0.14391569793224335, 0.0741022378206253)",0,0,0,-1.0,6.0,1.0,0,0,0.23505976095617565
86,3472,"Cariola, Karol","De la Carrera, Gonzalo",1.187088274044796,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,Ind-PLR,Karol Cariola Oliva,Gonzalo de la Carrera Correa,izquierda,derecha,karol cariola,gonzalo de la carrera,negative,,0.5,"(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)","(0.07192277908325195, -0.5688222646713257, 0.4021381139755249, -0.36664527654647827, 0.012412216514348984, 0.07546111196279526, -0.20475126802921295, -0.021665969863533974, -0.3264473080635071, -0.055981267243623734, -0.15535561740398407, -0.31171518564224243)",0,0,1,-1.0,0.0,4.0,0,0,0.23505976095617565
87,3648,"Arroyo, Roberto","Mulet, Jaime",1.1989459815546772,Región del Biobío (13),Región de Atacama (5),PSC,FRVS,Roberto Arroyo Munoz,Jaime Mulet Martinez,derecha,izquierda,roberto arroyo,jaime mulet,neutral,,2.0,"(0.3453408181667328, 0.3130670487880707, 0.5472157001495361, -0.6758420467376709, -0.5688937902450562, 0.570095419883728, -0.16140422224998474, 0.33255383372306824, 0.2361176759004593, -0.14032743871212006, 0.039871834218502045, 0.03192513808608055)","(0.28068551421165466, 0.3086976706981659, 0.6657344102859497, -0.783454954624176, -0.6728776097297668, 0.5861486792564392, -0.19778428971767426, 0.3871384561061859, 0.3466945290565491, -0.13200624287128448, 0.12953096628189087, 0.17177802324295044)",0,0,0,0.5,1.0,7.0,0,0,0.24402390438247024
88,3663,"Romero, Leonidas","Sauerbaum, Frank",1.1989459815546772,Región del Biobío (13),Región de Ńuble (5),Ind-RN,RN,Leonidas Romero Saez,Frank Sauerbaum Munoz,centro_derecha,centro_derecha,leonidas romero,frank sauerbaum,positive,,3.0,"(0.28555864095687866, -0.7052873969078064, 0.77278733253479, 0.4322497546672821, 0.4142706096172333, 0.3513210713863373, -0.7157492637634277, 0.01430914830416441, 0.07990647852420807, 0.3395632207393646, -0.03767682984471321, 0.8327611684799194)","(0.23506870865821838, -0.6223311424255371, 0.766700029373169, 0.4955075979232788, 0.38376885652542114, 0.16091376543045044, -0.5324954390525818, -0.04798886179924011, 0.00546069024130702, 0.17133714258670807, -0.100320965051651, 0.5806187987327576)",0,1,0,1.5,1.0,1.0,1,0,0.24402390438247024
89,3769,"Soto, Raul","Weisse, Flor",1.206851119894598,Región del Libertador General Bernardo O'Higgins (9),Región del Biobío (13),PPD,UDI,Raul Soto Mardones,Flor Weisse Novoa,centro_izquierda,centro_derecha,raul soto,flor weisse,positive,,3.0,"(-0.17009975016117096, -0.5207455158233643, -0.5835843086242676, -0.20742712914943695, 0.27079543471336365, 0.06211184710264206, 0.027194242924451828, -0.4936193823814392, 0.021418802440166473, 0.7103921175003052, -0.18371035158634186, 0.3871075510978699)","(0.7492145299911499, -0.09251458197832108, -0.9947445392608643, 0.4519234001636505, -0.18849317729473114, 0.355893075466156, 0.09074534475803375, -0.013865157961845398, -0.10755985230207443, 0.022682225331664085, -0.07653800398111343, 0.24342505633831024)",0,0,0,1.5,1.0,6.0,0,0,0.24999999999999992
90,3843,"Naranjo, Jaime","Sauerbaum, Frank",1.2108036890645586,Región del Maule (11),Región de Ńuble (5),PS,RN,Jaime Naranjo Ortiz,Frank Sauerbaum Munoz,centro_izquierda,centro_derecha,jaime naranjo,frank sauerbaum,neutral,,2.0,"(-0.09532375633716583, -0.6033055186271667, 0.42124277353286743, 0.4792490601539612, 0.47593387961387634, -0.2951275110244751, -0.21062995493412018, -0.27300432324409485, 0.16072839498519897, 0.09972921013832092, -0.3553610146045685, 0.5407090783119202)","(0.23506870865821838, -0.6223311424255371, 0.766700029373169, 0.4955075979232788, 0.38376885652542114, 0.16091376543045044, -0.5324954390525818, -0.04798886179924011, 0.00546069024130702, 0.17133714258670807, -0.100320965051651, 0.5806187987327576)",0,0,0,0.5,1.0,1.0,1,0,0.252988047808765
91,3844,"Naranjo, Jaime","Sauerbaum, Frank",1.2108036890645586,Región del Maule (11),Región de Ńuble (5),PS,RN,Jaime Naranjo Ortiz,Frank Sauerbaum Munoz,centro_izquierda,centro_derecha,jaime naranjo,frank sauerbaum,positive,,3.0,"(-0.09532375633716583, -0.6033055186271667, 0.42124277353286743, 0.4792490601539612, 0.47593387961387634, -0.2951275110244751, -0.21062995493412018, -0.27300432324409485, 0.16072839498519897, 0.09972921013832092, -0.3553610146045685, 0.5407090783119202)","(0.23506870865821838, -0.6223311424255371, 0.766700029373169, 0.4955075979232788, 0.38376885652542114, 0.16091376543045044, -0.5324954390525818, -0.04798886179924011, 0.00546069024130702, 0.17133714258670807, -0.100320965051651, 0.5806187987327576)",0,0,0,1.5,1.0,1.0,1,0,0.252988047808765
92,3849,"Lagomarsino, Tomas","Schalper, Diego",1.2108036890645586,Región de Valparaíso (16),Región del Libertador General Bernardo O'Higgins (9),PR,RN,Tomas Lagomarsino Guzman,Diego Schalper Sepulveda,centro_izquierda,centro_derecha,tomas lagomarsino,diego schalper,neutral,,2.0,"(0.4390542507171631, -0.05400828644633293, -0.24188287556171417, 0.34940746426582336, 0.6752296090126038, 0.322444885969162, -0.39830172061920166, 0.3931177258491516, -0.7973913550376892, 0.17926539480686188, -0.06449835002422333, -0.5305733680725098)","(0.5000088214874268, -0.012865266762673855, 0.09449426084756851, 0.13503797352313995, 0.8302730917930603, 0.06918229907751083, -0.04271029308438301, 0.020726988092064857, -0.43890637159347534, 0.23074309527873993, -0.03886774554848671, -0.4402972459793091)",0,0,0,0.5,3.0,3.0,1,0,0.252988047808765
93,3870,"Undurraga, Francisco","Venegas, Nelson",1.2121212121212122,Región Metropolitana de Santiago (47),Región de Valparaíso (16),Evópoli,PS,Francisco Undurraga Gazitua,Nelson Venegas Salazar,centro_derecha,centro_izquierda,francisco undurraga,nelson venegas,positive,,3.0,"(0.3312475085258484, -0.7353495359420776, -0.12893542647361755, 0.20802859961986542, 0.4235789179801941, 0.05145110934972763, -0.604274570941925, 0.3893243670463562, -0.40965062379837036, -0.2207014411687851, 0.05011081323027611, -0.062298908829689026)","(0.26912909746170044, -0.8069061636924744, -0.31182861328125, 0.04317830875515938, 0.28474611043930054, -0.28283512592315674, -0.4582059383392334, 0.2829451560974121, -0.045918457210063934, -0.5870454907417297, -0.4032384157180786, -0.0365348756313324)",0,0,0,1.5,3.0,3.0,1,0,0.25398406374502003
94,3942,"Lagomarsino, Tomas","Ramirez, Guillermo",1.2173913043478262,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PR,UDI,Tomas Lagomarsino Guzman,Guillermo Ramirez Diez,centro_izquierda,centro_derecha,tomas lagomarsino,guillermo ramírez,neutral,,2.0,"(0.4390542507171631, -0.05400828644633293, -0.24188287556171417, 0.34940746426582336, 0.6752296090126038, 0.322444885969162, -0.39830172061920166, 0.3931177258491516, -0.7973913550376892, 0.17926539480686188, -0.06449835002422333, -0.5305733680725098)","(0.29868990182876587, 0.01381832454353571, -0.35624924302101135, 0.5075188279151917, 0.4355458617210388, 0.3775927722454071, -0.4108975827693939, 0.532281756401062, -0.7182883024215698, 0.0009501018794253469, -0.27519160509109497, -0.18727947771549225)",0,0,0,0.5,3.0,3.0,1,0,0.25796812749004
95,3979,"Perez, Marlene","Santana, Juan",1.220026350461133,Región del Biobío (13),Región de Atacama (5),Ind-UDI,PS,Marlene Perez Cartes,Juan Santana Castillo,centro_derecha,centro_izquierda,marlene pérez,juan santana,negative,,0.5,"(1.0426615476608276, 0.654625415802002, 0.6697847843170166, 0.019090935587882996, 0.0638386607170105, -0.4507319927215576, 0.37712758779525757, -0.5023954510688782, -0.08721621334552765, -0.39161765575408936, -0.3354760706424713, 0.14101701974868774)","(0.15372662246227264, 0.43683552742004395, 0.2384856939315796, 0.36570408940315247, 0.3477714955806732, -0.48645439743995667, 0.4878879487514496, -0.05287081375718117, -0.3408981263637543, -0.5004726052284241, -0.24407386779785156, 0.38732224702835083)",0,0,0,-1.0,7.0,4.0,0,0,0.2599601593625499
96,4002,"Castro, Jose Miguel","Ilabaca, Marcos",1.2213438735177866,Región de Antofagasta (5),Región de Los Ríos (5),RN,PS,Jose Miguel Castro Bascunan,Marcos Ilabaca Cerda,centro_derecha,centro_izquierda,jose miguel castro,marcos ilabaca,positive,,3.0,"(0.5827462077140808, -0.21745827794075012, -0.27274349331855774, 0.14734037220478058, 0.9427334070205688, 0.5755537748336792, 0.28362593054771423, -0.17538483440876007, 0.23720785975456238, 0.10118841379880905, 0.2312106490135193, -0.3811236023902893)","(-0.6085469722747803, -0.4445212185382843, 0.3449461758136749, -0.07103952020406723, 0.13798591494560242, 0.7097020149230957, 0.3865470588207245, -0.01669229567050934, -0.03312193602323532, -0.21486809849739075, -0.054818976670503616, 0.003096394008025527)",0,0,0,1.5,3.0,1.0,0,0,0.26095617529880494
97,4042,"Orsini, Maite","Perez, Marlene",1.2239789196310935,Región Metropolitana de Santiago (47),Región del Biobío (13),RD,Ind-UDI,Maite Orsini Pascal,Marlene Perez Cartes,izquierda,centro_derecha,maite orsini,perez,positive,,3.0,"(-0.23495063185691833, -0.680708110332489, 0.3615490794181824, 0.22857902944087982, -0.1344963014125824, -0.41294753551483154, 0.39572975039482117, -0.09996545314788818, -0.3426397442817688, -0.6086985468864441, -0.4786514639854431, -0.11794350296258926)","(-0.5833644866943359, -0.4500192403793335, 0.43049877882003784, 0.6503874659538269, -0.21617211401462555, -0.3383769392967224, -0.08526098728179932, -0.3483317792415619, 0.11243350803852081, -0.16788360476493835, -0.4517958164215088, -0.20169158279895782)",0,0,0,1.5,4.0,4.0,1,0,0.2629482071713148
98,4043,"Jouannet, Andres","Ojeda, Mauricio",1.2239789196310935,Región de la Araucanía (11),Región de la Araucanía (11),Amarillos,Ind-PLR,Andres Jouannet Valderrama,Mauricio Ojeda Rebolledo,centro_izquierda,derecha,andrés jouannet,mauricio ojeda,positive,,3.0,"(0.15538282692432404, -0.9724566340446472, -0.10652697086334229, -0.16179506480693817, 0.12953591346740723, -0.43017295002937317, -0.20197182893753052, 0.7152544260025024, 0.33965790271759033, -0.03038589470088482, 0.18548496067523956, -0.06497908383607864)","(0.3066708445549011, -0.9716995358467102, -0.18662592768669128, -0.1840798556804657, 0.22262737154960632, -0.6317021250724792, -0.2680619955062866, 0.48819613456726074, 0.24311326444149017, -0.20883579552173615, 0.1958242952823639, -0.257363885641098)",0,0,1,1.5,5.0,5.0,1,0,0.2629482071713148
99,4054,"Mirosevic, Vlado","Undurraga, Francisco",1.225296442687747,Región de Arica y Parinacota (3),Región Metropolitana de Santiago (47),PL,Evópoli,Vlado Mirosevic Verdugo,Francisco Undurraga Gazitua,centro_izquierda,centro_derecha,vlado mirosevic,francisco undurraga,positive,,3.0,"(-0.25746551156044006, -0.4267946183681488, -0.03146525099873543, -0.09820473939180374, -0.22027204930782318, 0.09114105254411697, 0.07648873329162598, 0.4424510598182678, 0.11729744076728821, 0.11573886126279831, 0.14391569793224335, 0.0741022378206253)","(0.3312475085258484, -0.7353495359420776, -0.12893542647361755, 0.20802859961986542, 0.4235789179801941, 0.05145110934972763, -0.604274570941925, 0.3893243670463562, -0.40965062379837036, -0.2207014411687851, 0.05011081323027611, -0.062298908829689026)",0,0,0,1.5,1.0,3.0,0,0,0.2639442231075698
100,4055,"Mirosevic, Vlado","Undurraga, Francisco",1.225296442687747,Región de Arica y Parinacota (3),Región Metropolitana de Santiago (47),PL,Evópoli,Vlado Mirosevic Verdugo,Francisco Undurraga Gazitua,centro_izquierda,centro_derecha,vlado mirosevic,francisco undurraga,neutral,,2.0,"(-0.25746551156044006, -0.4267946183681488, -0.03146525099873543, -0.09820473939180374, -0.22027204930782318, 0.09114105254411697, 0.07648873329162598, 0.4424510598182678, 0.11729744076728821, 0.11573886126279831, 0.14391569793224335, 0.0741022378206253)","(0.3312475085258484, -0.7353495359420776, -0.12893542647361755, 0.20802859961986542, 0.4235789179801941, 0.05145110934972763, -0.604274570941925, 0.3893243670463562, -0.40965062379837036, -0.2207014411687851, 0.05011081323027611, -0.062298908829689026)",0,0,0,0.5,1.0,3.0,0,0,0.2639442231075698
101,4061,"Ramirez, Guillermo","Ulloa, Hector",1.225296442687747,Región Metropolitana de Santiago (47),Región de Los Lagos (9),UDI,Ind-PPD,Guillermo Ramirez Diez,Hector Ulloa Aguilera,centro_derecha,centro_izquierda,guillermo ramírez,héctor ulloa,positive,,3.0,"(0.29868990182876587, 0.01381832454353571, -0.35624924302101135, 0.5075188279151917, 0.4355458617210388, 0.3775927722454071, -0.4108975827693939, 0.532281756401062, -0.7182883024215698, 0.0009501018794253469, -0.27519160509109497, -0.18727947771549225)","(-0.3473736047744751, 0.9333764314651489, -0.29170557856559753, 0.11685660481452942, 0.22128987312316895, -0.1374788135290146, -0.44216302037239075, 0.7861150503158569, -0.9450979232788086, -0.05972325801849365, -0.5705181360244751, 0.028671765699982643)",0,0,0,1.5,3.0,0.0,0,0,0.2639442231075698
102,4063,"De la Carrera, Gonzalo","Mirosevic, Vlado",1.225296442687747,Región Metropolitana de Santiago (47),Región de Arica y Parinacota (3),Ind-PLR,PL,Gonzalo de la Carrera Correa,Vlado Mirosevic Verdugo,derecha,centro_izquierda,gonzalo de la carrera,vlado mirosevic,negative,,0.5,"(0.07192277908325195, -0.5688222646713257, 0.4021381139755249, -0.36664527654647827, 0.012412216514348984, 0.07546111196279526, -0.20475126802921295, -0.021665969863533974, -0.3264473080635071, -0.055981267243623734, -0.15535561740398407, -0.31171518564224243)","(-0.25746551156044006, -0.4267946183681488, -0.03146525099873543, -0.09820473939180374, -0.22027204930782318, 0.09114105254411697, 0.07648873329162598, 0.4424510598182678, 0.11729744076728821, 0.11573886126279831, 0.14391569793224335, 0.0741022378206253)",0,0,0,-1.0,4.0,1.0,0,0,0.2639442231075698
103,4087,"Jiles, Pamela","Kaiser, Johannes",1.227931488801054,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PH,PLR,Pamela Jiles Moreno,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,pamela jiles,johannes kaiser,neutral,,2.0,"(-0.15231190621852875, -0.5399658679962158, -0.03481057658791542, -0.14603491127490997, -0.04320862144231796, -0.748013436794281, 0.32586708664894104, -0.004099603742361069, -0.25829118490219116, -0.5084735155105591, 0.3196500241756439, -0.0023144325241446495)","(0.09175875782966614, -0.7036693096160889, -0.12319058924913406, -0.13710972666740417, 0.11400880664587021, -0.5006994605064392, -0.06157030537724495, -0.014230264350771904, 0.6679415702819824, -0.6311754584312439, -0.45538759231567383, 0.09736055135726929)",0,0,1,0.5,5.0,5.0,1,0,0.2659362549800797
104,4110,"Benavente, Gustavo","Cifuentes, Ricardo",1.230566534914361,Región del Maule (11),Región de Coquimbo (7),UDI,PDC,Gustavo Benavente Vergara,Ricardo Cifuentes Lillo,centro_derecha,centro_izquierda,gustavo benavente,ricardo cifuentes,negative,,0.5,"(0.6005507707595825, -0.033216867595911026, -0.8693734407424927, 0.4111100435256958, -0.7116571068763733, 0.12563498318195343, 0.2866595685482025, -0.11520090699195862, 0.08838213980197906, -0.10231241583824158, 0.3167448043823242, 0.06578192114830017)","(-0.43956995010375977, 0.05793211981654167, 0.002994246780872345, 0.6906612515449524, -0.48791515827178955, 0.02792295254766941, -0.0299091674387455, 0.05497744679450989, 0.08790368586778641, 0.26195958256721497, 0.29305899143218994, -0.019775308668613434)",0,0,0,-1.0,6.0,1.0,0,0,0.2679282868525898
105,4207,"Ahumada, Yovana","Mirosevic, Vlado",1.2371541501976284,Región de Antofagasta (5),Región de Arica y Parinacota (3),Ind-PDG,PL,Yovana Ahumada Palma,Vlado Mirosevic Verdugo,populista,centro_izquierda,yovana ahumada,vlado mirosevic,negative,,0.5,"(0.10831893235445023, 0.17138797044754028, 0.33798685669898987, -0.6873608231544495, -0.5425721406936646, -0.4742567837238312, -0.09385029971599579, 0.9187008738517761, 0.026289768517017365, 0.33570218086242676, 0.11628353595733643, 0.08364218473434448)","(-0.25746551156044006, -0.4267946183681488, -0.03146525099873543, -0.09820473939180374, -0.22027204930782318, 0.09114105254411697, 0.07648873329162598, 0.4424510598182678, 0.11729744076728821, 0.11573886126279831, 0.14391569793224335, 0.0741022378206253)",0,0,0,-1.0,5.0,1.0,0,0,0.27290836653386463
106,4264,"Concha, Sara","De la Carrera, Gonzalo",1.2424242424242424,Región de Ńuble (5),Región Metropolitana de Santiago (47),PSC,Ind-PLR,Sara Concha Smith,Gonzalo de la Carrera Correa,derecha,derecha,sara concha,gonzalo de la carrera,negative,,0.5,"(1.064326286315918, 0.12686966359615326, 0.8047046661376953, -0.4179203510284424, -0.025913849472999573, -0.26679885387420654, -0.18210211396217346, -0.41904354095458984, 0.3037022650241852, -0.22133778035640717, -0.1816408932209015, -0.03263005614280701)","(0.07192277908325195, -0.5688222646713257, 0.4021381139755249, -0.36664527654647827, 0.012412216514348984, 0.07546111196279526, -0.20475126802921295, -0.021665969863533974, -0.3264473080635071, -0.055981267243623734, -0.15535561740398407, -0.31171518564224243)",0,1,0,-1.0,7.0,4.0,0,0,0.27689243027888455
107,4321,"Medina, Karen","Mirosevic, Vlado",1.2463768115942029,Región del Biobío (13),Región de Arica y Parinacota (3),PDG,PL,Karen Medina Vasquez,Vlado Mirosevic Verdugo,populista,centro_izquierda,karen medina,vlado mirosevic,positive,,3.0,"(-0.2999440133571625, -0.43863511085510254, -0.03029501810669899, -0.0365678071975708, -0.32727405428886414, 0.12255903333425522, -0.02130419947206974, 0.5473906993865967, 0.22894805669784546, 0.276030570268631, 0.06468245387077332, 0.19189004600048065)","(-0.25746551156044006, -0.4267946183681488, -0.03146525099873543, -0.09820473939180374, -0.22027204930782318, 0.09114105254411697, 0.07648873329162598, 0.4424510598182678, 0.11729744076728821, 0.11573886126279831, 0.14391569793224335, 0.0741022378206253)",0,0,0,1.5,1.0,1.0,1,0,0.2798804780876495
108,4329,"Cariola, Karol","Oyarzo, Ruben Dario",1.2476943346508564,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PDG,Karol Cariola Oliva,Ruben Oyarzo Figueroa,izquierda,populista,karol cariola,rubén darío oyarzo,neutral,,2.0,"(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)","(0.13652871549129486, -0.5831356644630432, -0.485713928937912, -0.6952421069145203, -0.5075754523277283, -0.7312756180763245, 0.5619449615478516, -0.24640610814094543, -0.38334453105926514, 0.06948723644018173, 0.683250904083252, -0.03493872657418251)",0,0,1,0.5,0.0,5.0,0,0,0.2808764940239045
109,4383,"Mellado, Miguel","Naranjo, Jaime",1.2529644268774704,Región de la Araucanía (11),Región del Maule (11),RN,PS,Miguel Mellado Suazo,Jaime Naranjo Ortiz,centro_derecha,centro_izquierda,miguel mellado,jaime naranjo,neutral,,2.0,"(0.5149169564247131, -0.565479040145874, 0.319757342338562, 0.31109920144081116, 0.7973689436912537, -0.13707542419433594, -0.289449542760849, 0.18408244848251343, 0.32601630687713623, 0.45294612646102905, 0.2824724614620209, -0.11920913308858871)","(-0.09532375633716583, -0.6033055186271667, 0.42124277353286743, 0.4792490601539612, 0.47593387961387634, -0.2951275110244751, -0.21062995493412018, -0.27300432324409485, 0.16072839498519897, 0.09972921013832092, -0.3553610146045685, 0.5407090783119202)",0,0,0,0.5,3.0,1.0,0,0,0.2848605577689245
110,4413,"Bianchi, Carlos","Matheson, Christian",1.2555994729907771,Región de Magallanes y la Antártica Chilena (3),Región de Magallanes y la Antártica Chilena (3),Ind-PPD,Ind-Evópoli,Carlos Bianchi Chelech,Christian Matheson Villan,centro_izquierda,centro_derecha,carlos bianchi,christian matheson,positive,,3.0,"(-0.539204478263855, 0.7561084032058716, -0.21996283531188965, -0.05904003977775574, -0.06640028953552246, -0.13779273629188538, 0.051126427948474884, 0.07020506262779236, -0.26932060718536377, 0.14203985035419464, -0.26353713870048523, -0.06343914568424225)","(0.5225076079368591, 0.7086129188537598, -0.41585585474967957, 0.12679564952850342, -0.3244308829307556, -0.08833823353052139, 0.5833403468132019, -0.4316125810146332, -0.12670744955539703, 0.2593724727630615, -0.5792651176452637, -0.14740048348903656)",0,0,1,1.5,0.0,6.0,0,0,0.2868525896414342
111,4424,"Cordero, Maria Luisa","Jiles, Pamela",1.256916996047431,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),Ind-RN,PH,Maria Luisa Cordero Velasquez,Pamela Jiles Moreno,centro_derecha,izquierda,maria luisa cordero,pamela jiles,positive,,3.0,"(-0.5455685257911682, -0.7138678431510925, 0.3995334506034851, 0.552980363368988, -0.4919281005859375, -0.5107927322387695, 0.34757140278816223, -0.17288368940353394, -0.3578176200389862, -0.5323247313499451, 0.10861726105213165, -0.2344980388879776)","(-0.15231190621852875, -0.5399658679962158, -0.03481057658791542, -0.14603491127490997, -0.04320862144231796, -0.748013436794281, 0.32586708664894104, -0.004099603742361069, -0.25829118490219116, -0.5084735155105591, 0.3196500241756439, -0.0023144325241446495)",0,0,1,1.5,5.0,5.0,1,0,0.2878486055776894
112,4460,"Alessandri, Jorge","Soto, Raul",1.2595520421607378,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),UDI,PPD,Jorge Alessandri Vergara,Raul Soto Mardones,centro_derecha,centro_izquierda,jorge alessandri,raul soto,negative,,0.5,"(0.4019070565700531, -0.494261234998703, -0.39444541931152344, 0.10104236751794815, 0.13489197194576263, -0.18696853518486023, -0.36178115010261536, 0.06555704772472382, -0.4399808347225189, -0.28970152139663696, -0.21045586466789246, -0.1143282875418663)","(-0.17009975016117096, -0.5207455158233643, -0.5835843086242676, -0.20742712914943695, 0.27079543471336365, 0.06211184710264206, 0.027194242924451828, -0.4936193823814392, 0.021418802440166473, 0.7103921175003052, -0.18371035158634186, 0.3871075510978699)",0,0,0,-1.0,3.0,1.0,0,0,0.2898406374501993
113,4489,"Alessandri, Jorge","Leiva, Raul",1.262187088274045,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,PS,Jorge Alessandri Vergara,Raul Leiva Carvajal,centro_derecha,centro_izquierda,jorge alessandri,raul leiva,positive,,3.0,"(0.4019070565700531, -0.494261234998703, -0.39444541931152344, 0.10104236751794815, 0.13489197194576263, -0.18696853518486023, -0.36178115010261536, 0.06555704772472382, -0.4399808347225189, -0.28970152139663696, -0.21045586466789246, -0.1143282875418663)","(0.047207895666360855, -0.54617840051651, -0.30388522148132324, -0.04186130315065384, 0.08793821930885315, -0.3706783354282379, -0.3404732644557953, 0.10959023982286453, -0.5063770413398743, -0.56512451171875, 0.0257575623691082, -0.1235266700387001)",0,0,1,1.5,3.0,3.0,1,0,0.29183266932270935
114,4504,"Moreno, Benjamin","Soto, Raul",1.2635046113306982,Región del Maule (11),Región del Libertador General Bernardo O'Higgins (9),PLR,PPD,Benjamin Moreno Bascur,Raul Soto Mardones,derecha,centro_izquierda,benjamin moreno,raul soto,neutral,,2.0,"(-0.6418365240097046, -0.06407769024372101, -0.4599677622318268, -0.7423275113105774, 0.058524325489997864, 0.390746533870697, -0.2627752721309662, -0.6701421141624451, -0.2889645993709564, 0.49315306544303894, 0.07981843501329422, 0.3294934332370758)","(-0.17009975016117096, -0.5207455158233643, -0.5835843086242676, -0.20742712914943695, 0.27079543471336365, 0.06211184710264206, 0.027194242924451828, -0.4936193823814392, 0.021418802440166473, 0.7103921175003052, -0.18371035158634186, 0.3871075510978699)",0,0,0,0.5,1.0,1.0,1,0,0.2928286852589642
115,4513,"Borquez, Fernando","Santana, Juan",1.2648221343873518,Región de Los Lagos (9),Región de Atacama (5),Ind-UDI,PS,Fernando Borquez Montecinos,Juan Santana Castillo,centro_derecha,centro_izquierda,fernando bórquez,juan santana,negative,,0.5,"(0.7970206141471863, 0.5437690615653992, -0.6480931639671326, 0.43581536412239075, -0.4515974223613739, 0.15791526436805725, 0.45821601152420044, -0.28415483236312866, -0.03095497377216816, -0.18561036884784698, -0.20844699442386627, 0.1993829309940338)","(0.15372662246227264, 0.43683552742004395, 0.2384856939315796, 0.36570408940315247, 0.3477714955806732, -0.48645439743995667, 0.4878879487514496, -0.05287081375718117, -0.3408981263637543, -0.5004726052284241, -0.24407386779785156, 0.38732224702835083)",0,0,0,-1.0,6.0,4.0,0,0,0.29382470119521925
116,4531,"Araya, Jaime","Sulantay, Marco Antonio",1.2661396574440054,Región de Antofagasta (5),Región de Coquimbo (7),Ind-PPD,UDI,Jaime Araya Guerrero,Marco Sulantay Olivares,centro_izquierda,centro_derecha,jaime araya,marco antonio sulantay,negative,,0.5,"(-0.6611199378967285, 0.725109875202179, -0.12981659173965454, -0.33550170063972473, -0.24248777329921722, -0.0901297852396965, -0.23064914345741272, 0.1783013641834259, -0.19769494235515594, 0.18053986132144928, -0.228913813829422, -0.17082816362380981)","(0.00945220235735178, 0.6152006983757019, 0.3709942698478699, -0.7380215525627136, -0.7347151637077332, 0.01692277193069458, -0.24501873552799225, 0.7420357465744019, 0.017675191164016724, 0.24655334651470184, 0.03313702344894409, -0.04212269186973572)",0,0,0,-1.0,0.0,7.0,0,0,0.2948207171314743
117,4597,"Duran, Jorge","Jiles, Pamela",1.2714097496706191,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),RN,PH,Jorge Duran Espinoza,Pamela Jiles Moreno,centro_derecha,izquierda,jorge durán,pamela jiles,neutral,,2.0,"(0.07963766902685165, -0.8112054467201233, -0.3184526562690735, -0.5914938449859619, -0.29111871123313904, -0.6645867228507996, 0.5872334241867065, 0.02745874784886837, -0.2347143292427063, 0.42091497778892517, 0.5580087900161743, 0.2441413402557373)","(-0.15231190621852875, -0.5399658679962158, -0.03481057658791542, -0.14603491127490997, -0.04320862144231796, -0.748013436794281, 0.32586708664894104, -0.004099603742361069, -0.25829118490219116, -0.5084735155105591, 0.3196500241756439, -0.0023144325241446495)",0,0,1,0.5,5.0,5.0,1,0,0.2988047808764941
